date_key,full_date,day_of_week,day_name,is_weekend,week_of_year,month_number,month_name,quarter,year,fiscal_year,fiscal_quarter,season,is_holiday,holiday_name
20210805,2021-08-05,4,Thursday,False,31,8,August,3,2021,2021,FQ3,Summer,False,
20210806,2021-08-06,5,Friday,False,31,8,August,3,2021,2021,FQ3,Summer,False,
20210807,2021-08-07,6,Saturday,True,31,8,August,3,2021,2021,FQ3,Summer,False,
20210808,2021-08-08,7,Sunday,True,31,8,August,3,2021,2021,FQ3,Summer,False,
20210809,2021-08-09,1,Monday,False,32,8,August,3,2021,2021,FQ3,Summer,False,
20210810,2021-08-10,2,Tuesday,False,32,8,August,3,2021,2021,FQ3,Summer,False,
20210811,2021-08-11,3,Wednesday,False,32,8,August,3,2021,2021,FQ3,Summer,False,
20210812,2021-08-12,4,Thursday,False,32,8,August,3,2021,2021,FQ3,Summer,False,
20210813,2021-08-13,5,Friday,False,32,8,August,3,2021,2021,FQ3,Summer,False,
20210814,2021-08-14,6,Saturday,True,32,8,August,3,2021,2021,FQ3,Summer,False,
20210815,2021-08-15,7,Sunday,True,32,8,August,3,2021,2021,FQ3,Summer,False,
20210816,2021-08-16,1,Monday,False,33,8,August,3,2021,2021,FQ3,Summer,False,
20210817,2021-08-17,2,Tuesday,False,33,8,August,3,2021,2021,FQ3,Summer,False,
20210818,2021-08-18,3,Wednesday,False,33,8,August,3,2021,2021,FQ3,Summer,False,
20210819,2021-08-19,4,Thursday,False,33,8,August,3,2021,2021,FQ3,Summer,False,
20210820,2021-08-20,5,Friday,False,33,8,August,3,2021,2021,FQ3,Summer,False,
20210821,2021-08-21,6,Saturday,True,33,8,August,3,2021,2021,FQ3,Summer,False,
20210822,2021-08-22,7,Sunday,True,33,8,August,3,2021,2021,FQ3,Summer,False,
20210823,2021-08-23,1,Monday,False,34,8,August,3,2021,2021,FQ3,Summer,False,
20210824,2021-08-24,2,Tuesday,False,34,8,August,3,2021,2021,FQ3,Summer,False,
20210825,2021-08-25,3,Wednesday,False,34,8,August,3,2021,2021,FQ3,Summer,False,
20210826,2021-08-26,4,Thursday,False,34,8,August,3,2021,2021,FQ3,Summer,False,
20210827,2021-08-27,5,Friday,False,34,8,August,3,2021,2021,FQ3,Summer,False,
20210828,2021-08-28,6,Saturday,True,34,8,August,3,2021,2021,FQ3,Summer,False,
20210829,2021-08-29,7,Sunday,True,34,8,August,3,2021,2021,FQ3,Summer,False,
20210830,2021-08-30,1,Monday,False,35,8,August,3,2021,2021,FQ3,Summer,False,
20210831,2021-08-31,2,Tuesday,False,35,8,August,3,2021,2021,FQ3,Summer,False,
20210901,2021-09-01,3,Wednesday,False,35,9,September,3,2021,2021,FQ3,Autumn,False,
20210902,2021-09-02,4,Thursday,False,35,9,September,3,2021,2021,FQ3,Autumn,False,
20210903,2021-09-03,5,Friday,False,35,9,September,3,2021,2021,FQ3,Autumn,False,
20210904,2021-09-04,6,Saturday,True,35,9,September,3,2021,2021,FQ3,Autumn,False,
20210905,2021-09-05,7,Sunday,True,35,9,September,3,2021,2021,FQ3,Autumn,False,
20210906,2021-09-06,1,Monday,False,36,9,September,3,2021,2021,FQ3,Autumn,False,
20210907,2021-09-07,2,Tuesday,False,36,9,September,3,2021,2021,FQ3,Autumn,False,
20210908,2021-09-08,3,Wednesday,False,36,9,September,3,2021,2021,FQ3,Autumn,False,
20210909,2021-09-09,4,Thursday,False,36,9,September,3,2021,2021,FQ3,Autumn,False,
20210910,2021-09-10,5,Friday,False,36,9,September,3,2021,2021,FQ3,Autumn,False,
20210911,2021-09-11,6,Saturday,True,36,9,September,3,2021,2021,FQ3,Autumn,False,
20210912,2021-09-12,7,Sunday,True,36,9,September,3,2021,2021,FQ3,Autumn,False,
20210913,2021-09-13,1,Monday,False,37,9,September,3,2021,2021,FQ3,Autumn,False,
20210914,2021-09-14,2,Tuesday,False,37,9,September,3,2021,2021,FQ3,Autumn,False,
20210915,2021-09-15,3,Wednesday,False,37,9,September,3,2021,2021,FQ3,Autumn,False,
20210916,2021-09-16,4,Thursday,False,37,9,September,3,2021,2021,FQ3,Autumn,False,
20210917,2021-09-17,5,Friday,False,37,9,September,3,2021,2021,FQ3,Autumn,False,
20210918,2021-09-18,6,Saturday,True,37,9,September,3,2021,2021,FQ3,Autumn,False,
20210919,2021-09-19,7,Sunday,True,37,9,September,3,2021,2021,FQ3,Autumn,False,
20210920,2021-09-20,1,Monday,False,38,9,September,3,2021,2021,FQ3,Autumn,False,
20210921,2021-09-21,2,Tuesday,False,38,9,September,3,2021,2021,FQ3,Autumn,False,
20210922,2021-09-22,3,Wednesday,False,38,9,September,3,2021,2021,FQ3,Autumn,False,
20210923,2021-09-23,4,Thursday,False,38,9,September,3,2021,2021,FQ3,Autumn,False,
20210924,2021-09-24,5,Friday,False,38,9,September,3,2021,2021,FQ3,Autumn,False,
20210925,2021-09-25,6,Saturday,True,38,9,September,3,2021,2021,FQ3,Autumn,False,
20210926,2021-09-26,7,Sunday,True,38,9,September,3,2021,2021,FQ3,Autumn,False,
